,avg_windspeed,max_windspeed,avg_temp,min_temp,max_temp,avg_downfall,min_vis,max_vis,avg_overcast,date
1,53.0,100.0,16.0,0.0,32.0,6.0,1.0,37.0,8.0,2017-01-01
2,33.0,160.0,32.0,-1.0,67.0,20.0,27.0,80.0,5.0,2017-01-02
3,72.0,140.0,57.0,16.0,74.0,4.0,61.0,75.0,8.0,2017-01-03
4,80.0,210.0,59.0,24.0,76.0,6.0,38.0,72.0,6.0,2017-01-04
5,30.0,80.0,3.0,-43.0,40.0,-1.0,65.0,83.0,2.0,2017-01-05
6,40.0,80.0,-25.0,-59.0,-2.0,3.0,47.0,75.0,8.0,2017-01-06
7,41.0,110.0,7.0,-13.0,35.0,9.0,1.0,58.0,7.0,2017-01-07
8,15.0,40.0,44.0,11.0,72.0,0.0,2.0,75.0,8.0,2017-01-08
9,52.0,120.0,54.0,39.0,66.0,67.0,2.0,59.0,8.0,2017-01-09
10,38.0,130.0,57.0,31.0,74.0,13.0,58.0,70.0,7.0,2017-01-10
11,102.0,200.0,72.0,49.0,98.0,5.0,33.0,67.0,6.0,2017-01-11
12,71.0,170.0,53.0,2.0,79.0,169.0,28.0,69.0,8.0,2017-01-12
13,84.0,210.0,37.0,2.0,62.0,89.0,24.0,80.0,7.0,2017-01-13
14,54.0,170.0,25.0,0.0,49.0,68.0,38.0,80.0,6.0,2017-01-14
15,19.0,60.0,11.0,-33.0,36.0,-1.0,65.0,70.0,7.0,2017-01-15
16,21.0,60.0,-8.0,-50.0,33.0,0.0,4.0,80.0,4.0,2017-01-16
17,18.0,50.0,-35.0,-67.0,4.0,-1.0,8.0,57.0,4.0,2017-01-17
18,14.0,40.0,-34.0,-62.0,-16.0,1.0,2.0,32.0,8.0,2017-01-18
19,13.0,70.0,-14.0,-57.0,48.0,0.0,26.0,82.0,1.0,2017-01-19
20,25.0,60.0,3.0,-51.0,48.0,0.0,49.0,83.0,4.0,2017-01-20
21,30.0,90.0,4.0,-49.0,46.0,0.0,42.0,72.0,2.0,2017-01-21
22,13.0,40.0,-16.0,-69.0,37.0,0.0,0.0,59.0,3.0,2017-01-22
23,20.0,60.0,0.0,-63.0,32.0,3.0,0.0,36.0,7.0,2017-01-23
24,20.0,50.0,13.0,-3.0,31.0,1.0,1.0,59.0,8.0,2017-01-24
25,30.0,70.0,-9.0,-41.0,7.0,0.0,16.0,57.0,6.0,2017-01-25
26,38.0,70.0,-25.0,-48.0,-1.0,0.0,57.0,62.0,0.0,2017-01-26
27,46.0,90.0,8.0,-42.0,47.0,0.0,59.0,69.0,5.0,2017-01-27
28,53.0,100.0,57.0,24.0,94.0,0.0,64.0,73.0,8.0,2017-01-28
29,52.0,110.0,44.0,29.0,61.0,8.0,56.0,67.0,8.0,2017-01-29
30,46.0,110.0,50.0,31.0,71.0,62.0,13.0,70.0,8.0,2017-01-30
31,33.0,90.0,40.0,31.0,57.0,0.0,56.0,75.0,8.0,2017-01-31
32,55.0,100.0,37.0,4.0,64.0,7.0,10.0,68.0,8.0,2017-02-01
33,59.0,110.0,89.0,57.0,129.0,7.0,41.0,74.0,7.0,2017-02-02
34,41.0,80.0,84.0,62.0,114.0,-1.0,60.0,75.0,6.0,2017-02-03
35,33.0,80.0,54.0,25.0,72.0,96.0,22.0,70.0,6.0,2017-02-04
36,22.0,100.0,40.0,16.0,61.0,3.0,1.0,61.0,8.0,2017-02-05
37,20.0,60.0,44.0,16.0,62.0,0.0,34.0,62.0,8.0,2017-02-06
38,52.0,100.0,24.0,9.0,41.0,8.0,18.0,57.0,8.0,2017-02-07
39,64.0,110.0,-1.0,-9.0,9.0,2.0,25.0,56.0,8.0,2017-02-08
40,60.0,100.0,-14.0,-20.0,-8.0,-1.0,50.0,57.0,8.0,2017-02-09
41,45.0,100.0,-22.0,-40.0,-15.0,1.0,20.0,57.0,7.0,2017-02-10
42,54.0,130.0,-4.0,-16.0,8.0,60.0,2.0,42.0,8.0,2017-02-11
43,65.0,120.0,3.0,-13.0,20.0,8.0,7.0,56.0,4.0,2017-02-12
44,61.0,120.0,16.0,-15.0,53.0,0.0,40.0,60.0,0.0,2017-02-13
45,39.0,100.0,37.0,-3.0,89.0,0.0,57.0,63.0,0.0,2017-02-14
46,36.0,80.0,68.0,11.0,129.0,2.0,56.0,64.0,2.0,2017-02-15
47,52.0,100.0,62.0,30.0,95.0,0.0,16.0,70.0,6.0,2017-02-16
48,50.0,120.0,69.0,51.0,82.0,1.0,4.0,70.0,8.0,2017-02-17
49,30.0,60.0,43.0,17.0,88.0,0.0,1.0,60.0,7.0,2017-02-18
50,50.0,100.0,64.0,20.0,101.0,3.0,25.0,65.0,7.0,2017-02-19
51,71.0,140.0,91.0,73.0,110.0,24.0,18.0,70.0,8.0,2017-02-20
52,65.0,180.0,91.0,71.0,106.0,13.0,24.0,73.0,8.0,2017-02-21
53,97.0,200.0,89.0,73.0,101.0,146.0,32.0,70.0,8.0,2017-02-22
54,127.0,280.0,77.0,41.0,105.0,94.0,32.0,70.0,8.0,2017-02-23
55,50.0,140.0,44.0,-1.0,82.0,1.0,61.0,80.0,3.0,2017-02-24
56,74.0,150.0,58.0,11.0,87.0,17.0,59.0,75.0,8.0,2017-02-25
57,80.0,150.0,87.0,69.0,106.0,13.0,19.0,75.0,8.0,2017-02-26
58,89.0,180.0,83.0,43.0,102.0,67.0,58.0,75.0,7.0,2017-02-27
59,78.0,150.0,44.0,21.0,66.0,33.0,42.0,75.0,7.0,2017-02-28
60,48.0,110.0,61.0,36.0,89.0,32.0,44.0,82.0,7.0,2017-03-01
61,90.0,230.0,63.0,28.0,84.0,48.0,50.0,75.0,7.0,2017-03-02
62,48.0,110.0,58.0,12.0,89.0,1.0,59.0,75.0,7.0,2017-03-03
63,42.0,110.0,86.0,60.0,131.0,32.0,58.0,75.0,8.0,2017-03-04
64,70.0,150.0,68.0,41.0,110.0,36.0,61.0,80.0,6.0,2017-03-05
65,22.0,90.0,59.0,25.0,100.0,25.0,40.0,76.0,6.0,2017-03-06
66,38.0,80.0,66.0,41.0,90.0,0.0,32.0,75.0,8.0,2017-03-07
67,55.0,150.0,59.0,21.0,101.0,137.0,26.0,65.0,7.0,2017-03-08
68,63.0,180.0,73.0,11.0,122.0,2.0,1.0,81.0,5.0,2017-03-09
69,23.0,60.0,66.0,-5.0,116.0,0.0,4.0,81.0,4.0,2017-03-10
70,25.0,60.0,77.0,25.0,125.0,0.0,67.0,80.0,8.0,2017-03-11
71,31.0,70.0,89.0,44.0,152.0,0.0,75.0,83.0,8.0,2017-03-12
72,29.0,80.0,63.0,5.0,123.0,0.0,56.0,74.0,7.0,2017-03-13
73,46.0,110.0,81.0,33.0,136.0,0.0,50.0,64.0,8.0,2017-03-14
74,23.0,90.0,89.0,43.0,135.0,0.0,57.0,76.0,4.0,2017-03-15
75,38.0,100.0,99.0,28.0,165.0,0.0,42.0,67.0,1.0,2017-03-16
76,83.0,200.0,81.0,65.0,105.0,40.0,29.0,78.0,8.0,2017-03-17
77,68.0,230.0,91.0,76.0,115.0,47.0,25.0,70.0,8.0,2017-03-18
78,98.0,180.0,113.0,95.0,136.0,10.0,33.0,68.0,8.0,2017-03-19
79,97.0,220.0,103.0,82.0,113.0,33.0,26.0,75.0,8.0,2017-03-20
80,68.0,160.0,71.0,29.0,95.0,0.0,59.0,80.0,6.0,2017-03-21
81,48.0,120.0,71.0,12.0,128.0,0.0,62.0,82.0,4.0,2017-03-22
82,56.0,130.0,82.0,19.0,132.0,0.0,59.0,79.0,2.0,2017-03-23
83,65.0,130.0,86.0,48.0,132.0,0.0,58.0,81.0,5.0,2017-03-24
84,56.0,120.0,87.0,39.0,135.0,0.0,70.0,83.0,4.0,2017-03-25
85,45.0,120.0,81.0,54.0,115.0,0.0,60.0,75.0,8.0,2017-03-26
86,29.0,90.0,104.0,24.0,179.0,0.0,56.0,82.0,3.0,2017-03-27
87,40.0,120.0,117.0,34.0,199.0,0.0,59.0,72.0,4.0,2017-03-28
88,70.0,150.0,124.0,105.0,144.0,1.0,61.0,81.0,8.0,2017-03-29
89,48.0,110.0,157.0,96.0,215.0,0.0,69.0,81.0,7.0,2017-03-30
90,53.0,150.0,138.0,80.0,219.0,-1.0,67.0,80.0,8.0,2017-03-31
91,31.0,70.0,101.0,58.0,138.0,1.0,34.0,80.0,7.0,2017-04-01
92,34.0,120.0,100.0,50.0,158.0,0.0,44.0,80.0,2.0,2017-04-02
93,17.0,50.0,91.0,52.0,132.0,0.0,32.0,69.0,5.0,2017-04-03
94,25.0,80.0,99.0,45.0,166.0,0.0,22.0,80.0,2.0,2017-04-04
95,50.0,110.0,90.0,54.0,123.0,0.0,19.0,75.0,6.0,2017-04-05
96,41.0,100.0,80.0,48.0,117.0,-1.0,61.0,74.0,6.0,2017-04-06
97,45.0,90.0,106.0,76.0,147.0,0.0,59.0,82.0,7.0,2017-04-07
98,21.0,90.0,102.0,50.0,153.0,0.0,62.0,82.0,4.0,2017-04-08
99,30.0,140.0,127.0,45.0,203.0,0.0,57.0,67.0,1.0,2017-04-09
100,58.0,140.0,92.0,39.0,132.0,-1.0,59.0,81.0,5.0,2017-04-10
101,54.0,110.0,98.0,38.0,135.0,0.0,68.0,82.0,6.0,2017-04-11
102,70.0,140.0,99.0,70.0,115.0,6.0,50.0,73.0,8.0,2017-04-12
103,53.0,100.0,87.0,43.0,124.0,0.0,60.0,76.0,5.0,2017-04-13
104,51.0,130.0,99.0,42.0,134.0,9.0,58.0,83.0,7.0,2017-04-14
105,74.0,140.0,93.0,53.0,116.0,27.0,56.0,81.0,7.0,2017-04-15
106,44.0,130.0,77.0,47.0,108.0,61.0,57.0,79.0,6.0,2017-04-16
107,49.0,170.0,67.0,27.0,112.0,52.0,33.0,81.0,5.0,2017-04-17
108,46.0,110.0,64.0,17.0,110.0,27.0,58.0,83.0,4.0,2017-04-18
109,25.0,90.0,51.0,3.0,94.0,0.0,75.0,83.0,5.0,2017-04-19
110,37.0,90.0,75.0,0.0,121.0,0.0,67.0,81.0,7.0,2017-04-20
111,55.0,100.0,108.0,74.0,137.0,11.0,38.0,75.0,8.0,2017-04-21
112,54.0,140.0,78.0,40.0,114.0,12.0,58.0,80.0,7.0,2017-04-22
113,38.0,100.0,71.0,28.0,114.0,8.0,63.0,82.0,7.0,2017-04-23
114,62.0,130.0,92.0,60.0,124.0,22.0,59.0,75.0,8.0,2017-04-24
115,64.0,170.0,60.0,29.0,99.0,21.0,61.0,82.0,5.0,2017-04-25
116,35.0,130.0,57.0,-2.0,110.0,11.0,63.0,83.0,4.0,2017-04-26
117,43.0,120.0,69.0,4.0,106.0,17.0,60.0,82.0,6.0,2017-04-27
118,37.0,110.0,78.0,43.0,118.0,35.0,58.0,82.0,6.0,2017-04-28
119,24.0,60.0,82.0,21.0,137.0,0.0,65.0,83.0,3.0,2017-04-29
120,70.0,160.0,130.0,52.0,192.0,0.0,75.0,83.0,5.0,2017-04-30
121,40.0,110.0,119.0,92.0,144.0,4.0,61.0,83.0,8.0,2017-05-01
122,35.0,100.0,113.0,79.0,154.0,19.0,30.0,81.0,7.0,2017-05-02
123,43.0,90.0,109.0,79.0,143.0,31.0,36.0,72.0,8.0,2017-05-03
124,70.0,150.0,106.0,86.0,128.0,-1.0,60.0,75.0,7.0,2017-05-04
125,53.0,130.0,94.0,78.0,111.0,1.0,60.0,75.0,8.0,2017-05-05
126,54.0,110.0,124.0,67.0,175.0,0.0,50.0,72.0,5.0,2017-05-06
127,48.0,100.0,111.0,85.0,156.0,-1.0,50.0,76.0,7.0,2017-05-07
128,53.0,140.0,98.0,38.0,154.0,-1.0,59.0,81.0,4.0,2017-05-08
129,32.0,90.0,86.0,29.0,132.0,0.0,65.0,81.0,6.0,2017-05-09
130,22.0,60.0,93.0,38.0,143.0,0.0,70.0,82.0,4.0,2017-05-10
131,40.0,90.0,157.0,54.0,230.0,-1.0,65.0,82.0,3.0,2017-05-11
132,40.0,90.0,154.0,123.0,204.0,89.0,47.0,79.0,7.0,2017-05-12
133,41.0,90.0,139.0,92.0,182.0,25.0,35.0,76.0,6.0,2017-05-13
134,45.0,140.0,138.0,86.0,202.0,25.0,21.0,81.0,3.0,2017-05-14
135,37.0,100.0,149.0,73.0,206.0,3.0,62.0,82.0,5.0,2017-05-15
136,44.0,110.0,201.0,159.0,258.0,-1.0,75.0,83.0,8.0,2017-05-16
137,33.0,100.0,223.0,161.0,285.0,0.0,61.0,83.0,7.0,2017-05-17
138,45.0,120.0,152.0,130.0,207.0,12.0,41.0,80.0,8.0,2017-05-18
139,67.0,150.0,129.0,97.0,164.0,46.0,43.0,75.0,8.0,2017-05-19
140,39.0,100.0,134.0,90.0,175.0,-1.0,50.0,83.0,4.0,2017-05-20
141,30.0,80.0,144.0,72.0,199.0,0.0,59.0,82.0,5.0,2017-05-21
142,28.0,90.0,180.0,97.0,241.0,0.0,65.0,82.0,4.0,2017-05-22
143,43.0,110.0,154.0,115.0,190.0,0.0,61.0,82.0,7.0,2017-05-23
144,36.0,100.0,155.0,100.0,211.0,0.0,57.0,81.0,7.0,2017-05-24
145,27.0,80.0,172.0,91.0,222.0,0.0,4.0,82.0,0.0,2017-05-25
146,45.0,90.0,204.0,122.0,256.0,0.0,70.0,83.0,0.0,2017-05-26
147,55.0,140.0,223.0,165.0,306.0,0.0,75.0,83.0,2.0,2017-05-27
148,35.0,80.0,189.0,146.0,234.0,0.0,70.0,83.0,5.0,2017-05-28
149,38.0,180.0,207.0,153.0,269.0,70.0,30.0,80.0,8.0,2017-05-29
150,63.0,130.0,172.0,155.0,194.0,2.0,30.0,80.0,7.0,2017-05-30
151,34.0,90.0,166.0,113.0,208.0,0.0,61.0,82.0,3.0,2017-05-31
152,18.0,50.0,170.0,87.0,229.0,0.0,65.0,83.0,2.0,2017-06-01
153,23.0,90.0,203.0,126.0,250.0,0.0,70.0,83.0,5.0,2017-06-02
154,35.0,100.0,177.0,135.0,221.0,24.0,57.0,80.0,7.0,2017-06-03
155,50.0,120.0,154.0,111.0,190.0,0.0,56.0,82.0,3.0,2017-06-04
156,48.0,130.0,170.0,114.0,212.0,0.0,70.0,83.0,8.0,2017-06-05
157,98.0,240.0,144.0,112.0,178.0,85.0,49.0,83.0,8.0,2017-06-06
158,108.0,210.0,143.0,121.0,182.0,22.0,58.0,80.0,8.0,2017-06-07
159,59.0,130.0,163.0,121.0,225.0,18.0,31.0,80.0,8.0,2017-06-08
160,59.0,130.0,161.0,128.0,191.0,140.0,34.0,75.0,5.0,2017-06-09
161,45.0,100.0,180.0,118.0,236.0,0.0,59.0,83.0,3.0,2017-06-10
162,52.0,140.0,197.0,129.0,269.0,0.0,66.0,82.0,4.0,2017-06-11
163,80.0,150.0,163.0,145.0,191.0,0.0,66.0,76.0,7.0,2017-06-12
164,40.0,90.0,162.0,114.0,201.0,0.0,65.0,82.0,3.0,2017-06-13
165,25.0,70.0,181.0,102.0,238.0,0.0,57.0,83.0,3.0,2017-06-14
